datetime,CAT17,CB02411,CB1101,CB1142,CB1143,CB1599,CB1699,CB2105,CEE016,CEK049,CEK18,CEK31,CEV011,CJE181,CJM90,CLW239,COM205,CVT387
2019-01-31,,16991.0,,3734.0,19649.0,,,5325.0,,17278.0,14749.0,,,,35674.0,,3511.0,
2019-02-28,,19038.0,,32463.0,28712.0,,,10056.0,,23364.0,14126.0,,,,42249.0,,3227.0,
2019-03-31,,23602.0,,35690.0,26950.0,8136.0,,14611.0,,25429.0,15917.0,,,,46179.0,4926.0,4097.0,
2019-04-30,,26090.0,,36489.0,29154.0,12455.0,,17400.0,,29818.0,21769.0,,,,37298.0,8053.0,5580.0,
2019-05-31,,45209.0,,33161.0,12564.0,16127.0,,21713.0,,33835.0,24009.0,,,,50357.0,13355.0,7234.0,
2019-06-30,,49964.0,,22072.0,36146.0,18471.0,,26024.0,4.0,27645.0,16701.0,,,,61678.0,13556.0,7061.0,
2019-07-31,,53829.0,,49455.0,44000.0,16322.0,,27678.0,21481.0,26128.0,6128.0,,,,63228.0,11882.0,7996.0,
2019-08-31,,47945.0,,32892.0,32156.0,15089.0,,24310.0,15774.0,27497.0,3102.0,,,,47751.0,4029.0,8586.0,
2019-09-30,,58941.0,,52554.0,42324.0,17314.0,,28790.0,15805.0,36430.0,3067.0,,,,56808.0,11189.0,8643.0,
2019-10-31,,45962.0,,31561.0,35156.0,16044.0,,24977.0,15836.0,27801.0,10421.0,,,,51043.0,7472.0,6467.0,
2019-11-30,,22503.0,,1438.0,20425.0,10106.0,,17197.0,12081.0,27276.0,24549.0,,,,71415.0,4519.0,6753.0,
2019-12-31,,26479.0,,19665.0,18276.0,6903.0,,18041.0,10074.0,29383.0,18470.0,,,,58946.0,3133.0,9955.0,
2020-01-31,,37500.0,,41458.0,26191.0,4084.0,,21126.0,13700.0,36173.0,24617.0,,,,71151.0,3948.0,12509.0,
2020-02-29,,31256.0,,46083.0,24577.0,7222.0,,18782.0,12607.0,31104.0,20226.0,,,,60065.0,3096.0,10811.0,
2020-03-31,,31515.0,,32395.0,19245.0,8055.0,,14176.0,15273.0,25748.0,18718.0,,,,46272.0,4160.0,20204.0,
2020-04-30,,65301.0,,31712.0,1060.0,10057.0,,17750.0,23181.0,35582.0,27413.0,,,,35369.0,5670.0,35132.0,
2020-05-31,,86245.0,,50447.0,7147.0,10209.0,,34487.0,34854.0,30442.0,49751.0,,,,103783.0,13835.0,72989.0,
2020-06-30,,78598.0,,53837.0,3114.0,2322.0,,42037.0,40761.0,23765.0,48764.0,,,,124956.0,8838.0,49277.0,
2020-07-31,,63544.0,,62999.0,3389.0,10163.0,5688.0,37722.0,34469.0,18749.0,37552.0,,462.0,,106941.0,5472.0,31943.0,592.0
2020-08-31,,58185.0,,50865.0,737.0,22475.0,17950.0,36802.0,31371.0,22987.0,31444.0,,8771.0,,87282.0,12084.0,23949.0,5121.0
2020-09-30,,78808.0,,79358.0,2796.0,33037.0,26745.0,46533.0,47261.0,79918.0,48827.0,,18902.0,,65895.0,25213.0,38392.0,10771.0
2020-10-31,0.0,51892.0,,59594.0,3106.0,24670.0,19000.0,36174.0,34811.0,60804.0,34051.0,,13664.0,6917.0,47287.0,17517.0,26590.0,7187.0
2020-11-30,27770.0,48575.0,,41766.0,19811.0,22207.0,16062.0,30015.0,29130.0,48792.0,29236.0,0.0,11054.0,7513.0,65867.0,16759.0,28584.0,7956.0
2020-12-31,18263.0,33018.0,,35412.0,26279.0,15014.0,12009.0,26051.0,20132.0,36216.0,20600.0,0.0,8858.0,4908.0,64336.0,11966.0,17837.0,4980.0
2021-01-31,17571.0,29731.0,,32102.0,24557.0,13671.0,11223.0,25531.0,18393.0,33133.0,18838.0,0.0,8191.0,4208.0,63752.0,11062.0,15313.0,4581.0
2021-02-28,23320.0,37759.0,,33730.0,25778.0,16798.0,13200.0,25956.0,22852.0,37128.0,22302.0,0.0,9332.0,4658.0,65817.0,12687.0,20166.0,5599.0
2021-03-31,31917.0,49222.0,,42279.0,34863.0,21064.0,16622.0,33679.0,30034.0,51212.0,28899.0,27434.0,11920.0,6769.0,84456.0,16275.0,25299.0,7579.0
2021-04-30,42683.0,57197.0,,45715.0,37059.0,23860.0,18767.0,37842.0,34550.0,53438.0,32277.0,36434.0,13205.0,7452.0,94246.0,17626.0,28952.0,9244.0
2021-05-31,39695.0,60757.0,,49482.0,40004.0,23695.0,19422.0,43169.0,35600.0,54535.0,33387.0,40134.0,13302.0,7927.0,69901.0,18679.0,29179.0,9238.0
2021-06-30,52008.0,77436.0,,68649.0,54898.0,29452.0,24739.0,51987.0,45186.0,70334.0,40319.0,57017.0,17581.0,9505.0,33179.0,23741.0,33739.0,10822.0
2021-07-31,37307.0,53631.0,,53520.0,49474.0,19932.0,16077.0,45103.0,32032.0,50627.0,24603.0,35411.0,12529.0,7821.0,67565.0,15495.0,25328.0,7964.0
2021-08-31,36260.0,53345.0,,51541.0,46436.0,19817.0,16435.0,45291.0,33045.0,51014.0,19732.0,35013.0,12752.0,8330.0,94070.0,15351.0,26938.0,11567.0
2021-09-30,56934.0,77145.0,,90145.0,88147.0,32303.0,28187.0,59308.0,52504.0,78895.0,27080.0,70833.0,21678.0,11711.0,139515.0,27107.0,40429.0,19026.0
2021-10-31,40681.0,53247.0,,82615.0,71562.0,27914.0,23638.0,54455.0,43699.0,68124.0,17576.0,55929.0,17419.0,9403.0,122859.0,20074.0,11211.0,9182.0
2021-11-30,27152.0,33193.0,,64807.0,57436.0,20098.0,17469.0,43922.0,31704.0,52286.0,9799.0,41892.0,12998.0,7211.0,84353.0,14521.0,,10776.0
2021-12-31,17964.0,22233.0,,45968.0,35466.0,13730.0,11682.0,34013.0,22184.0,37978.0,6257.0,27729.0,9814.0,4727.0,75213.0,10180.0,,7808.0
2022-01-31,21358.0,22957.0,,45096.0,39941.0,14526.0,12587.0,34629.0,24700.0,41079.0,6402.0,31251.0,10782.0,5088.0,76730.0,11321.0,,7932.0
2022-02-28,22848.0,31349.0,,50522.0,43364.0,16669.0,14260.0,34596.0,26375.0,42822.0,8010.0,34468.0,11535.0,5091.0,82214.0,12565.0,,9364.0
2022-03-31,42305.0,43202.0,,88352.0,66181.0,28887.0,23991.0,53424.0,47365.0,71119.0,17400.0,59302.0,19177.0,8779.0,129522.0,17343.0,4336.0,16181.0
2022-04-30,44097.0,62020.0,,75140.0,35596.0,22510.0,19194.0,52354.0,39489.0,58141.0,7838.0,47452.0,16186.0,8427.0,120985.0,17355.0,32234.0,13809.0
2022-05-31,61666.0,87083.0,,106745.0,90690.0,31938.0,18631.0,68967.0,55272.0,80017.0,38175.0,71545.0,22813.0,11768.0,162371.0,25840.0,47851.0,18714.0
2022-06-30,61503.0,90156.0,,110861.0,93468.0,29979.0,28919.0,70791.0,56893.0,78919.0,59975.0,75007.0,23521.0,12827.0,164580.0,25726.0,43252.0,18562.0
2022-07-31,51508.0,72796.0,,84309.0,77360.0,19647.0,21025.0,64329.0,44892.0,61018.0,44987.0,55303.0,17424.0,9994.0,133453.0,19674.0,36660.0,15333.0
2022-08-31,58226.0,85688.0,,85797.0,76826.0,24122.0,25427.0,72997.0,51050.0,67664.0,45779.0,53020.0,19605.0,11236.0,150194.0,22216.0,48935.0,17602.0
2022-09-30,56233.0,87426.0,,107585.0,98855.0,27599.0,29975.0,68819.0,54146.0,78754.0,55092.0,73165.0,24524.0,11444.0,170940.0,26005.0,50394.0,22312.0
2022-10-31,53813.0,107109.0,,111987.0,91921.0,30800.0,29906.0,77211.0,54324.0,81140.0,53765.0,70778.0,23192.0,12016.0,173560.0,25175.0,48606.0,17392.0
2022-11-30,36918.0,82874.0,,92960.0,80273.0,22978.0,23665.0,64811.0,43905.0,65952.0,42802.0,58046.0,19092.0,9009.0,140638.0,18678.0,31614.0,16461.0
2022-12-31,22809.0,52231.0,14195.0,64455.0,46222.0,13317.0,14454.0,45679.0,27587.0,42528.0,25920.0,35555.0,12548.0,6142.0,98895.0,9918.0,17431.0,10344.0
2023-01-31,26588.0,56083.0,87719.0,64240.0,54032.0,14533.0,15373.0,45763.0,30130.0,44751.0,28167.0,41435.0,13618.0,6076.0,102521.0,10500.0,20358.0,11403.0
2023-02-28,32398.0,65201.0,101978.0,74323.0,61080.0,18021.0,18396.0,50874.0,35388.0,50422.0,32579.0,45189.0,15048.0,7199.0,110866.0,11568.0,23960.0,13062.0
2023-03-31,35304.0,71806.0,112863.0,82804.0,68147.0,21141.0,21093.0,58288.0,40828.0,58338.0,36744.0,52916.0,17224.0,7622.0,126903.0,10955.0,28586.0,15485.0
2023-04-30,40838.0,79270.0,109577.0,77964.0,67013.0,22557.0,21178.0,58840.0,40735.0,56747.0,36117.0,46912.0,17654.0,8017.0,125901.0,15215.0,32052.0,17869.0
2023-05-31,58256.0,107239.0,134047.0,99554.0,87966.0,29571.0,27542.0,73651.0,52582.0,74010.0,48448.0,64253.0,21295.0,11168.0,158075.0,22586.0,44675.0,20006.0
2023-06-30,69407.0,134834.0,165506.0,124192.0,104093.0,36128.0,34715.0,86476.0,63038.0,87530.0,61813.0,86831.0,27390.0,13901.0,188037.0,28413.0,26228.0,25425.0
2023-07-31,45679.0,91232.0,119503.0,84559.0,68818.0,23680.0,21509.0,71208.0,39863.0,56892.0,39028.0,57604.0,17548.0,9695.0,134362.0,17398.0,14176.0,16013.0
2023-08-31,49509.0,83123.0,110075.0,71063.0,64445.0,25681.0,23522.0,69993.0,33950.0,55574.0,34747.0,49269.0,17911.0,10014.0,137272.0,18121.0,21187.0,16205.0
2023-09-30,70493.0,127805.0,163426.0,116376.0,106582.0,37443.0,34278.0,84622.0,32606.0,85725.0,35956.0,82877.0,26845.0,13328.0,192077.0,28305.0,26791.0,26248.0
2023-10-31,54822.0,104863.0,149160.0,108766.0,86097.0,34435.0,31398.0,76142.0,59210.0,80706.0,18946.0,71863.0,22729.0,11398.0,173925.0,22840.0,22384.0,20970.0
2023-11-30,34402.0,71896.0,109813.0,78960.0,64945.0,24788.0,23099.0,55462.0,42091.0,57618.0,20710.0,51509.0,15774.0,6781.0,126698.0,14162.0,12257.0,13526.0
2023-12-31,28015.0,59175.0,92470.0,66396.0,45957.0,19500.0,18308.0,48824.0,33257.0,45489.0,15562.0,38634.0,12985.0,6038.0,109913.0,12315.0,11154.0,10840.0
2024-01-31,27327.0,64605.0,85290.0,62518.0,49805.0,17372.0,16140.0,41524.0,31509.0,41958.0,24304.0,39557.0,12575.0,5662.0,100369.0,9104.0,19563.0,9667.0
2024-02-29,35031.0,77661.0,105502.0,73866.0,59518.0,22053.0,20870.0,50492.0,39034.0,52689.0,32732.0,49712.0,15222.0,6548.0,118917.0,13549.0,22197.0,11021.0
2024-03-31,47921.0,96679.0,124122.0,77062.0,65523.0,27480.0,25428.0,65151.0,47616.0,62715.0,38580.0,57168.0,19069.0,8970.0,150790.0,17833.0,34653.0,15611.0
2024-04-30,48292.0,98477.0,126078.0,73035.0,77531.0,28251.0,26109.0,59625.0,47233.0,63948.0,39553.0,65765.0,19999.0,9018.0,150671.0,18935.0,38002.0,16443.0
2024-05-31,56712.0,114508.0,129367.0,75321.0,90063.0,31454.0,29031.0,63543.0,45148.0,68486.0,40999.0,67670.0,14093.0,10334.0,170411.0,21563.0,44289.0,18294.0
2024-06-30,62663.0,128493.0,148776.0,94081.0,91391.0,35011.0,32334.0,72326.0,39303.0,75881.0,48530.0,79092.0,14211.0,11409.0,184681.0,24147.0,49590.0,20514.0
2024-07-31,55465.0,100995.0,134738.0,23120.0,89000.0,28076.0,25920.0,34155.0,46484.0,61187.0,39079.0,64513.0,12664.0,9699.0,153144.0,19354.0,41395.0,16302.0
2024-08-31,60884.0,106677.0,122723.0,0.0,93783.0,30155.0,27793.0,35351.0,47497.0,62648.0,37322.0,56995.0,11864.0,10562.0,156094.0,20788.0,45140.0,18724.0
2024-09-30,66300.0,120892.0,159376.0,26053.0,126425.0,38119.0,34418.0,37045.0,59583.0,79536.0,50323.0,84131.0,14618.0,11885.0,183534.0,25437.0,49272.0,11776.0
2024-10-31,61997.0,110414.0,159146.0,108310.0,101455.0,38740.0,33606.0,79414.0,60588.0,80615.0,47818.0,77037.0,22720.0,11278.0,180979.0,22399.0,44412.0,20501.0
2024-11-30,46200.0,84770.0,129624.0,85733.0,84940.0,27917.0,25742.0,70631.0,47080.0,62951.0,35526.0,59343.0,20440.0,8648.0,146702.0,16791.0,31525.0,15869.0
2024-12-31,34573.0,65513.0,100499.0,69610.0,57440.0,20578.0,19246.0,57989.0,36222.0,48354.0,27220.0,43889.0,15593.0,7131.0,118010.0,12804.0,23725.0,12138.0
2025-01-31,31829.0,57924.0,102567.0,67737.0,60890.0,18542.0,17822.0,53801.0,34525.0,44790.0,25586.0,46475.0,15127.0,6220.0,112991.0,11509.0,21726.0,11546.0
2025-02-28,40134.0,74023.0,115132.0,83456.0,55126.0,23349.0,21832.0,59411.0,41571.0,52610.0,30910.0,50723.0,16296.0,8243.0,128561.0,9806.0,27338.0,13736.0
2025-03-31,59635.0,104735.0,151391.0,164350.0,4580.0,35939.0,32546.0,79418.0,58231.0,73292.0,47602.0,68906.0,22721.0,11368.0,92176.0,10867.0,44635.0,17765.0
2025-04-30,67908.0,119732.0,159682.0,170569.0,2851.0,38065.0,35162.0,88236.0,60987.0,76419.0,50402.0,71991.0,23417.0,12538.0,118914.0,21496.0,47700.0,16906.0
2025-05-31,70384.0,134627.0,170141.0,191517.0,44.0,40994.0,38568.0,90596.0,65391.0,82868.0,55454.0,78020.0,25767.0,13731.0,174898.0,24386.0,51517.0,18736.0
2025-06-30,73840.0,140727.0,183462.0,213795.0,26.0,44212.0,41320.0,92488.0,68620.0,88069.0,62812.0,90970.0,28069.0,12947.0,175354.0,25622.0,52972.0,24324.0
2025-07-31,60858.0,109213.0,159658.0,174794.0,14.0,33347.0,30016.0,87080.0,52491.0,66103.0,47746.0,68960.0,22217.0,7143.0,142125.0,18666.0,39553.0,17848.0
2025-08-31,64869.0,118862.0,70482.0,150344.0,16.0,34109.0,31531.0,92307.0,53204.0,68299.0,42974.0,56990.0,22194.0,10517.0,147518.0,19702.0,45048.0,19752.0
2025-09-30,72722.0,140228.0,145050.0,197253.0,26.0,42253.0,40413.0,94605.0,29751.0,90540.0,60280.0,82777.0,29706.0,14435.0,191405.0,26318.0,52615.0,25359.0
2025-10-31,58556.0,117336.0,160092.0,179888.0,0.0,36447.0,34422.0,86555.0,63196.0,80580.0,50189.0,67725.0,22794.0,13321.0,181954.0,19788.0,41097.0,8983.0
2025-11-30,48312.0,102472.0,140130.0,158662.0,0.0,30476.0,29571.0,75987.0,55987.0,71324.0,43568.0,60287.0,13176.0,11763.0,158963.0,17098.0,34139.0,17019.0
2025-12-31,40341.0,86858.0,118566.0,116155.0,0.0,25328.0,24020.0,65713.0,45326.0,57945.0,35343.0,48845.0,10649.0,9820.0,137904.0,14029.0,27154.0,14066.0
